id_espace_vert,nom_espace_vert,type_espace_vert,code_postal,arr_num,surface_m2
13456,JARDINIERES DEVANT LE SQUARE DE PARODI,Décorations sur la voie publique,75016,16.0,1751.0
13376,JARDINIERES EVQ DES RUES FENELON ET BOSSUET,Décorations sur la voie publique,75010,10.0,
13478,JARDINIERES DE LA RUE ETEX,Décorations sur la voie publique,75018,18.0,
13479,JARDINIERES DE LA RUE LEPIC,Décorations sur la voie publique,75018,18.0,
11361,JARDINIERE VERTICALE DU 50 RUE DE CHARONNE,Murs végétalisés,75011,11.0,6.0
12166,JARDINIERES DE LA RUE DE LA PRESENTATION,Décorations sur la voie publique,75011,11.0,35.0
10939,JARDINIERES DE L'ESPLANADE LEO HAMON,Décorations sur la voie publique,75013,13.0,155.0
332,SQUARE GARIBALDI,Promenades ouvertes,75015,15.0,1377.0
10544,PLATE-BANDE DU CARREFOUR ALESIA - DIDOT,Décorations sur la voie publique,75014,14.0,485.0
11191,JARDINIERE VERTICALE DU 7 RUE DE LA MARSEILLAISE (LOCAUX),Murs végétalisés,75019,19.0,21.0
10378,JARDINIERE ANGLE DES RUES BROCA - SAINT-HIPPOLYTE,Décorations sur la voie publique,75013,13.0,40.0
10717,DECORATION DE LA PLACE DE WAGRAM,Décorations sur la voie publique,75017,17.0,754.0
10350,DECORATION DE L'AVENUE DE LA PORTE D'ITALIE,Décorations sur la voie publique,75013,13.0,100.0
406,SQUARE ROBERT SCHUMANN,Promenades ouvertes,75016,16.0,3559.0
628,21-00,Périphérique,75018,18.0,1407.0
10352,DECORATION DE LA RUE DE RUNGIS,Décorations sur la voie publique,75013,13.0,148.0
773,JARDIN JANIS JOPLIN,Promenades ouvertes,75020,20.0,1885.0
672,MAIL EMILE BOLLAERT,Promenades ouvertes,75019,19.0,9160.0
673,SQUARE CLAUDE BERNARD,Promenades ouvertes,75019,19.0,10100.0
11631,07-07,Périphérique,75015,15.0,1549.0
11637,09-08,Périphérique,75015,15.0,5048.0
390,09-13,Périphérique,75015,15.0,649.0
743,SQUARE HENRI KARCHER,Promenades ouvertes,75020,20.0,2630.0
111,SQUARE D'ANVERS-JEAN-CLAUDE CARRIERE,Promenades ouvertes,75009,9.0,4610.0
28,SQUARE PRIOU - VALJEAN,Promenades ouvertes,75004,4.0,1304.0
170,SQUARE GEORGES MELIES,Promenades ouvertes,75012,12.0,3029.0
10733,JARDIN CROMOT-DU BOURG,Promenades ouvertes,75009,9.0,789.0
254,JARDIN FEDERICA MONTSENY,Promenades ouvertes,75013,13.0,890.0
245,JARDIN DU MOULIN DE LA POINTE,Promenades ouvertes,75013,13.0,14300.0
267,00-10,Périphérique,75013,13.0,1459.0
878,PROMENADE PLANTEE ARTHUR RIMBAUD,Promenades ouvertes,75013,13.0,1365.0
881,JARDINET DU PARVIS DE LA MAIRIE DU XIIIEME,Jardinets décoratifs,75013,13.0,543.0
11304,JARDIN SAIDA,Promenades ouvertes,75015,15.0,2830.0
10287,JARDINIERE DU SQUARE DE ROBIAC,Décorations sur la voie publique,75007,7.0,16.0
10886,JARDINIERE DE LA RUE MAURICE GENEVOIX,Décorations sur la voie publique,75018,18.0,74.0
11134,JARDINIERE VERTICALE DU 42 QUAI DE VALMY,Murs végétalisés,75010,10.0,1.0
404,JARDIN DE LA PLACE DE LA PORTE DE SAINT-CLOUD,Promenades ouvertes,75016,16.0,3420.0
10183,JARDINET DE LA PLACE DES VINS DE FRANCE,Jardinets décoratifs,75012,12.0,928.0
364,SQUARE PIERRE-ADRIEN DALPAYRAT,Promenades ouvertes,75015,15.0,9898.0
11170,JARDINIERE VERTICALE DU 26 PLACE DE BRAZZAVILLE,Murs végétalisés,75015,15.0,6.0
11557,29-06,Périphérique,75020,20.0,783.0
11597,18-06,Périphérique,75017,17.0,813.0
11612,JARDINIERE DE LA RUE AUDUBON,Décorations sur la voie publique,75012,12.0,70.0
234,SQUARE DE LA RAFFINERIE SAY,Promenades ouvertes,75013,13.0,5475.0
346,JARDIN D'IMMEUBLES ALBERT BARTHOLOME - BRANCION,Promenades ouvertes,75015,15.0,34180.0
124,SQUARE MADELEINE TRIBOLATI,Promenades ouvertes,75010,10.0,1000.0
10938,JARDINET DE LA RUE BRUNESEAU,Décorations sur la voie publique,75013,13.0,240.0
11678,15-08,Périphérique,75016,16.0,702.0
349,SQUARE CLOS FEUQUIERES - DESNOUETTES,Promenades ouvertes,75015,15.0,14500.0
10407,JARDINIERE DE LA RUE D'ARCUEIL,Décorations sur la voie publique,75014,14.0,5.0
378,CIMETIERE DE VAUGIRARD,Cimetières,75015,15.0,15900.0
10887,JARDINIERES DE LA RUE GASTON COUTE,Décorations sur la voie publique,75018,18.0,54.0
10333,JARDINIERES DE L'ESCALIER DE LA ZAC DE REUILLY,Décorations sur la voie publique,75012,12.0,323.0
11334,JARDIN PARTAGE DU JARDIN DE LA ZAC DIDOT,"Ephémères, partagés, pédagogiques",75014,14.0,166.0
11105,ESPACE VERT DU BOULODROME BOUCRY,Etablissements sportifs,75018,18.0,480.0
10898,JARDINIERES DU PARKING DE LA RUE ANDRE DUBOIS,Décorations sur la voie publique,75019,19.0,44.0
10905,PLATE-BANDE DE LA RUE EUGENIE COTTON,Décorations sur la voie publique,75019,19.0,216.0
11497,JARDINIERE DE LA RUE ABEL FERRY,Décorations sur la voie publique,75016,16.0,280.0
754,PARC DE BELLEVILLE,Promenades ouvertes,75020,20.0,36000.0
11549,27-02,Périphérique,75019,19.0,3941.0
637,23-05,Périphérique,75018,18.0,113.0
11616,02-02,Périphérique,75013,13.0,1232.0
11620,02-06,Périphérique,75013,13.0,543.0
11697,JARDINIERE VERTICALE DU 32 RUE DE LA TOUR D'AUVERGNE,Murs végétalisés,75009,9.0,0.0
11848,JARDIN PARTAGE DU PARC DE CHOISY,"Ephémères, partagés, pédagogiques",75013,13.0,100.0
11909,JARDINIERE VERTICALE DU 5 RUE DE CAMBRAI,Murs végétalisés,75019,19.0,
12007,JARDINIERES DU BOULEVARD DE VAUGIRARD,Décorations sur la voie publique,75015,15.0,1000.0
12043,JARDINIERE VERTICALE DU SQUARE MAURICE GARDETTE 2,Murs végétalisés,75011,11.0,21.0
12037,JARDINIERE VERTICALE DU SQUARE D'ANVERS 1,Murs végétalisés,75009,9.0,12.0
12050,JARDINIERE VERTICALE DU SQUARE MARCEL RAJMAN,Murs végétalisés,75011,11.0,40.0
12909,JARDINIERES DE LA MAISON DE BALZAC,Décorations sur la voie publique,75016,16.0,
12912,JARDINIERE DU SQUARE LEON TOLSTOI,Décorations sur la voie publique,75016,16.0,
11963,JARDINIERES DE LA RUE SORBIER,Décorations sur la voie publique,75020,20.0,850.0
751,JARDIN D'IMMEUBLES DE LA PORTE DE BAGNOLET,Promenades ouvertes,75020,20.0,18150.0
755,JARDIN TOUSSAINT LOUVERTURE,Promenades ouvertes,75020,20.0,6724.0
11505,JARDINIERES DU 71 RUE DE BAGNOLET,Décorations sur la voie publique,75020,20.0,39.0
12943,JARDINIERES RAE DE LA RUE DE L'ARBALETE,Décorations sur la voie publique,75005,5.0,204.0
12951,JARDINIERES EVQ DE LA RUE DU GRENIER SAINT LAZARE (EMBELLIR VOS QUARTIERS),Décorations sur la voie publique,75003,3.0,130.0
12968,JARDINIERES EVQ DE LA RUE DE CALAIS,Décorations sur la voie publique,75009,9.0,153.0
12933,JARDINIERES DE LA PROMENADE SPORTIVE DU BOULEVARD DE LA CHAPELLE,Décorations sur la voie publique,75018,18.0,366.0
13492,JARDINIERE DE LA FONTAINE DES INNOCENTS,Décorations sur la voie publique,75001,1.0,511.0
13197,JARDINIERES VGA DU BOULEVARD DE LA BASTILLE,Décorations sur la voie publique,75012,12.0,
677,JARDINET PLACE DU GENERAL INGOLD,Jardinets décoratifs,75019,19.0,578.0
428,JARDIN MAURICE BARLIER,Jardinets décoratifs,75016,16.0,1670.0
11208,JARDINIERE VERTICALE DU 7 IMPASSE BERTHAUD,Murs végétalisés,75003,3.0,2.0
13140,JARDINIERES RAE DE LA RUE DE LA REUNION,Décorations sur la voie publique,75020,20.0,
11117,JARDINIERE VERTICALE DU 14 RUE DES VERTUS,Murs végétalisés,75003,3.0,0.0
2,SQUARE DU VERT GALANT,Promenades ouvertes,75001,1.0,1642.0
11638,09-10,Périphérique,75015,15.0,734.0
10403,JARDINIERE DE LA PLACE GILBERT PRIVAT,Décorations sur la voie publique,75014,14.0,87.0
10988,MAIL DU PASSAGE NAFISSA SID CARA,Décorations sur la voie publique,75019,19.0,440.0
13090,JARDINIERES VGA DE LA PLACE DE LA PORTE DE SAINT-CLOUD,Décorations sur la voie publique,75016,16.0,
13411,JARDINIERES DE LA RUE CAIL,Décorations sur la voie publique,75010,10.0,164.0
13449,JARDINIERES DU PASSAGE VICTOR MARCHAND,Décorations sur la voie publique,75013,13.0,
11626,04-52,Périphérique,75014,14.0,68.0
13121,JARDINIERES EVQ DE LA RUE DE CHARTRES,Décorations sur la voie publique,75018,18.0,59.0
13355,FORET URBAINE DE LA PLACE DE L HOTEL DE VILLE,Décorations sur la voie publique,75004,4.0,2982.0
13069,JARDINIERES VGA DE LA RUE PIERRE FONTAINE,Décorations sur la voie publique,75009,9.0,66.0
75,SQUARE SANTIAGO DU CHILI,Promenades ouvertes,75007,7.0,3826.0
830,DECORATION DE LA FONTAINE DE LA PLACE EDMOND ROSTAND,Décorations sur la voie publique,75006,6.0,290.0
10840,JARDINIERES DE LA RUE D'AUTEUIL,Décorations sur la voie publique,75016,16.0,70.0
10268,DECORATION DU MONUMENT VULPIAN,Décorations sur la voie publique,75006,6.0,11.0
12889,JARDINIERES SAINT GERMAIN DES PRES,Décorations sur la voie publique,75006,6.0,30.0
13205,JARDINIERES RAE DE LA RUE BRETONNEAU,Décorations sur la voie publique,75020,20.0,125.0
13455,JARDINIERES PORTE MAILLOT ABORDS DU PHERIPHERIQUE 16E,Décorations sur la voie publique,75016,16.0,2732.0
10853,JARDINIERE DE LA PLACE STUART MERRILL,Décorations sur la voie publique,75017,17.0,30.0
13493,JARDINIERE VERTICALE DE LA CRECHE  THOREL,Murs végétalisés,75002,2.0,
759,SQUARE DE LA PAIX,Promenades ouvertes,75020,20.0,3925.0
12188,JARDINIERE VERTICALE DE LA RUE TOURNEFORT,Murs végétalisés,75005,5.0,
20,SQUARE LOUIS XIII,Promenades ouvertes,75004,4.0,12706.0
10272,JARDINIERE DE LA RUE FRANCISQUE GAY,Décorations sur la voie publique,75006,6.0,32.0
854,JARDINET DE LA STATUE DU FAUNE,Jardinets décoratifs,75010,10.0,37.0
886,JARDINET DE LA MAIRIE ANNEXE DU XIVEME,Jardinets décoratifs,75014,14.0,34.0
