annee,arrondissement,code_postal,ville,nb_plai,nb_plus,nb_pls
2014,10,75010,Paris,1,0,0
2015,13,75013,Paris,3,0,0
2015,13,75013,Paris,1,0,0
2015,10,75010,Paris,0,1,0
2015,14,75014,Paris,0,0,18
2015,14,75014,Paris,0,0,7
2015,10,75010,Paris,8,6,0
2015,11,75011,Paris,17,22,16
2015,14,75014,Paris,1,0,0
2015,19,75019,Paris,0,0,9
2016,20,75020,Paris,20,83,104
2016,20,75020,Paris,25,0,0
2016,17,75017,Paris,9,10,0
2016,19,75019,Paris,0,1,0
2016,9,75009,Paris,1,0,0
2016,10,75010,Paris,16,8,4
2016,12,75012,Paris,3,0,0
2016,3,75003,Paris,1,0,0
2017,20,75020,Paris,22,0,0
2017,18,75018,Paris,5,4,0
2017,13,75013,Paris,6,0,0
2017,19,75019,Paris,0,90,22
2017,11,75011,Paris,19,11,8
2017,18,75018,Paris,0,1,0
2017,15,75015,Paris,114,0,0
2017,15,75015,Paris,17,28,10
2017,17,75017,Paris,9,10,0
2017,15,75015,Paris,5,14,5
2018,19,75019,Paris,0,0,93
2018,18,75018,Paris,0,1,0
2018,11,75011,Paris,101,61,40
2018,18,75018,Paris,75,0,0
2018,13,75013,Paris,0,15,0
2018,11,75011,Paris,8,6,2
2018,19,75019,Paris,0,0,3
2018,15,75015,Paris,13,14,0
2018,18,75018,Paris,6,5,0
2018,19,75019,Paris,0,0,2
2018,6,75006,Paris,21,0,0
2018,13,75013,Paris,0,45,30
2019,13,75013,Paris,0,0,2
2019,19,75019,Paris,0,0,4
2019,20,75020,Paris,0,0,35
2019,14,75014,Paris,0,68,0
2019,20,75020,Paris,1,0,0
2019,13,75013,Paris,0,0,1
2019,12,75012,Paris,1,0,0
2019,15,75015,Paris,53,36,0
2019,17,75017,Paris,1,1,0
2020,18,75018,Paris,4,4,2
2020,13,75013,Paris,0,0,1
2020,18,75018,Paris,0,0,6
2020,17,75017,Paris,4,2,0
2020,17,75017,Paris,4,20,17
2020,13,75013,Paris,0,0,15
2020,12,75012,Paris,25,31,25
2020,16,75016,Paris,13,9,0
2021,15,75015,Paris,0,0,90
2021,17,75017,Paris,19,0,0
2021,18,75018,Paris,3,6,3
2021,11,75011,Paris,17,12,0
2021,11,75011,Paris,5,6,5
2022,18,75018,Paris,1,0,0
2022,3,75003,Paris,3,3,2
2022,14,75014,Paris,4,5,5
2022,15,75015,Paris,7,9,7
2022,19,75019,Paris,0,0,16
2022,3,75003,Paris,3,0,0
2022,15,75015,Paris,20,0,0
2022,5,75005,Paris,0,33,0
2022,11,75011,Paris,5,4,0
2022,20,75020,Paris,0,0,15
2023,6,75006,Paris,0,36,12
2023,18,75018,Paris,10,6,0
2023,12,75012,Paris,16,16,0
2023,20,75020,Paris,25,25,0
2024,13,75013,Paris,0,0,1
2024,5,75005,Paris,0,16,0
2024,15,75015,Paris,0,0,3
2024,17,75017,Paris,7,5,0
2024,3,75003,Paris,4,3,3
2024,10,75010,Paris,5,4,0
2024,15,75015,Paris,33,0,0
2001,12,75012,Paris,0,62,0
2001,19,75019,Paris,10,8,0
2001,20,75020,Paris,0,6,0
2001,10,75010,Paris,0,22,6
2001,14,75014,Paris,0,15,23
2001,19,75019,Paris,0,8,0
2001,15,75015,Paris,18,0,0
2002,9,75009,Paris,0,7,0
2002,20,75020,Paris,0,19,0
2002,3,75003,Paris,5,11,0
2002,10,75010,Paris,0,13,0
2002,16,75016,Paris,5,0,0
2002,15,75015,Paris,11,34,0
2002,14,75014,Paris,0,0,14
2002,18,75018,Paris,0,5,0
2002,14,75014,Paris,0,4,0
2003,19,75019,Paris,0,0,83
2003,15,75015,Paris,0,10,4
2003,16,75016,Paris,6,21,0
2003,20,75020,Paris,0,21,0
2003,18,75018,Paris,8,0,0
2003,11,75011,Paris,0,53,0
2003,19,75019,Paris,0,268,0
2004,9,75009,Paris,0,11,0
2004,12,75012,Paris,16,66,0
2004,11,75011,Paris,5,17,0
2004,10,75010,Paris,0,26,0
2004,13,75013,Paris,0,0,18
2004,3,75003,Paris,7,15,7
2004,11,75011,Paris,0,18,0
2004,15,75015,Paris,6,0,0
2004,14,75014,Paris,3,7,0
2005,20,75020,Paris,0,0,10
2005,14,75014,Paris,0,124,0
2005,7,75007,Paris,16,50,0
2005,11,75011,Paris,4,0,0
2005,10,75010,Paris,21,42,20
2006,3,75003,Paris,4,4,0
2006,13,75013,Paris,0,20,0
2006,18,75018,Paris,0,5,0
2006,11,75011,Paris,0,3,0
2006,15,75015,Paris,15,0,0
2006,14,75014,Paris,0,12,0
2006,18,75018,Paris,7,0,0
2007,3,75003,Paris,2,4,0
2007,19,75019,Paris,0,7,14
2007,20,75020,Paris,4,0,0
2007,20,75020,Paris,6,12,0
2007,18,75018,Paris,3,0,0
2007,15,75015,Paris,1,0,0
2007,1,75001,Paris,1,0,0
2007,14,75014,Paris,6,0,0
2007,12,75012,Paris,0,35,0
2007,12,75012,Paris,0,202,0
2007,8,75008,Paris,1,25,0
2007,16,75016,Paris,0,3,0
2007,19,75019,Paris,0,1,0
2008,4,75004,Paris,3,8,0
2008,13,75013,Paris,0,0,182
2008,20,75020,Paris,5,10,6
2008,17,75017,Paris,0,1,0
2008,20,75020,Paris,3,2,0
2008,14,75014,Paris,7,39,19
2008,5,75005,Paris,20,115,57
2008,4,75004,Paris,0,6,0
2008,12,75012,Paris,0,2,0
2009,20,75020,Paris,1,0,0
2009,19,75019,Paris,0,90,0
2009,15,75015,Paris,0,3,0
2009,13,75013,Paris,0,8,2
2009,13,75013,Paris,0,10,0
2009,17,75017,Paris,2,8,2
2009,16,75016,Paris,0,78,45
2010,19,75019,Paris,0,102,0
2010,2,75002,Paris,0,5,0
2010,17,75017,Paris,0,1,0
2010,20,75020,Paris,0,5,5
2010,15,75015,Paris,10,0,0
2010,5,75005,Paris,0,1,0
2010,20,75020,Paris,0,1,0
2010,11,75011,Paris,3,5,0
2010,20,75020,Paris,0,0,8
2010,18,75018,Paris,0,0,0
2011,11,75011,Paris,2,9,0
2011,11,75011,Paris,15,29,10
2011,16,75016,Paris,0,1,0
2011,4,75004,Paris,0,17,0
2011,13,75013,Paris,9,37,46
2011,15,75015,Paris,49,0,0
2011,17,75017,Paris,26,59,38
2011,20,75020,Paris,0,4,0
2012,20,75020,Paris,0,1,0
2012,20,75020,Paris,2,5,4
2012,8,75008,Paris,0,2,0
2012,20,75020,Paris,0,28,0
2012,11,75011,Paris,2,5,2
2012,11,75011,Paris,0,34,85
2012,19,75019,Paris,0,0,79
2013,18,75018,Paris,0,35,0
2013,16,75016,Paris,0,58,0
2013,17,75017,Paris,50,0,0
2014,5,75005,Paris,0,1,0
2014,8,75008,Paris,53,0,0
2014,9,75009,Paris,6,9,2
2014,14,75014,Paris,1,0,0
2014,15,75015,Paris,2,0,0
2014,16,75016,Paris,62,112,74
2014,18,75018,Paris,21,36,24
2014,20,75020,Paris,10,0,0
2014,14,75014,Paris,0,0,21
2014,12,75012,Paris,6,6,0
2014,19,75019,Paris,106,0,0
2014,17,75017,Paris,24,39,11
2014,20,75020,Paris,3,10,7
2014,17,75017,Paris,16,40,23
2014,14,75014,Paris,1,4,2
2015,10,75010,Paris,0,1,0
2015,17,75017,Paris,0,1,0
2015,19,75019,Paris,0,0,47
2015,16,75016,Paris,1,0,0
2015,15,75015,Paris,0,141,0
2015,4,75004,Paris,0,1,0
2015,5,75005,Paris,15,0,0
2015,12,75012,Paris,39,23,17
2015,15,75015,Paris,6,0,0
2015,15,75015,Paris,1,0,0
2015,17,75017,Paris,0,0,42
2015,11,75011,Paris,11,0,0
2015,18,75018,Paris,0,5,0
2015,20,75020,Paris,0,0,10
2016,15,75015,Paris,1,0,0
2016,20,75020,Paris,7,10,7
2016,13,75013,Paris,0,0,14
2016,12,75012,Paris,12,12,0
2016,17,75017,Paris,8,6,0
2016,20,75020,Paris,81,202,121
2016,12,75012,Paris,6,5,3
2016,11,75011,Paris,0,0,13
2016,18,75018,Paris,5,4,0
2017,16,75016,Paris,1,0,0
2017,20,75020,Paris,0,0,1
2017,15,75015,Paris,6,5,3
2017,19,75019,Paris,0,0,1
2017,17,75017,Paris,5,11,0
2017,18,75018,Paris,28,0,0
2017,15,75015,Paris,0,0,17
2017,5,75005,Paris,0,1,0
2017,11,75011,Paris,4,5,4
2018,11,75011,Paris,1,0,0
2018,17,75017,Paris,0,7,0
